,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.0992212295532227,0.16729825735092163,1.9445477724075317,0.23011188209056854
1,1.6976745128631592,0.3379306197166443,1.4699360132217407,0.4312145411968231
2,1.3109596967697144,0.5051645636558533,1.1932870149612427,0.5583252310752869
3,1.0889606475830078,0.6021333336830139,1.0161417722702026,0.6298549175262451
4,0.9362601041793823,0.6610225439071655,0.8976280689239502,0.6729365587234497
5,0.828642725944519,0.6985675692558289,0.8090544939041138,0.7020279765129089
6,0.7453413009643555,0.725954532623291,0.7384589314460754,0.7242563962936401
7,0.6799100041389465,0.7469031810760498,0.6847023367881775,0.741485595703125
8,0.6280420422554016,0.7633537650108337,0.6442539691925049,0.7538381218910217
9,0.5903114676475525,0.7745928168296814,0.6113959550857544,0.763715922832489
